,SiO2_n,SiO2_k,SiO2_w,SiO2_wk
282,1.5193709999999998,0.000383,692.669556,692.669556
283,1.519308,0.000381,694.243225,694.243225
284,1.5192450000000002,0.000379,695.816772,695.816772
285,1.519183,0.000377,697.390137,697.390137
286,1.519121,0.00037400000000000004,698.96344,698.96344
287,1.519059,0.00037200000000000004,700.53656,700.53656
288,1.5189979999999998,0.00037,702.10968,702.10968
289,1.518938,0.000368,703.6826169999998,703.6826169999999
290,1.5188780000000002,0.000366,705.255493,705.255493
291,1.518818,0.000364,706.8281860000002,706.8281860000001
292,1.518758,0.000362,708.400757,708.400757
293,1.5187,0.00036,709.973267,709.973267
294,1.518641,0.00035800000000000003,711.545654,711.545654
295,1.518583,0.000356,713.11792,713.11792
296,1.518525,0.000354,714.690063,714.690063
297,1.518468,0.000352,716.262146,716.262146
298,1.518411,0.00035,717.8341059999998,717.8341059999999
299,1.518354,0.000348,719.405884,719.405884
300,1.518298,0.000346,720.977539,720.977539
301,1.518242,0.000344,722.549133,722.549133
302,1.5181870000000002,0.000343,724.120605,724.120605
303,1.518131,0.000341,725.691956,725.691956
304,1.518077,0.000339,727.2631230000002,727.2631230000001
305,1.518022,0.000337,728.83429,728.83429
306,1.517968,0.000335,730.405212,730.405212
307,1.517915,0.000334,731.976135,731.976135
308,1.517861,0.000332,733.546875,733.546875
309,1.517809,0.00033,735.117493,735.117493
310,1.517756,0.00032900000000000003,736.687988,736.687988
311,1.5177040000000002,0.000327,738.258423,738.258423
312,1.517652,0.000325,739.828674,739.828674
313,1.5176,0.000323,741.398804,741.398804
314,1.517549,0.000322,742.9688719999998,742.9688719999999
315,1.517498,0.00032,744.538696,744.538696
316,1.517447,0.000319,746.108521,746.108521
317,1.517397,0.000317,747.678162,747.678162
318,1.517347,0.000315,749.247681,749.247681
319,1.517298,0.000314,750.817139,750.817139
320,1.517248,0.000312,752.386414,752.386414
321,1.517199,0.00031099999999999997,753.955566,753.955566
322,1.517151,0.000309,755.524597,755.524597
323,1.517102,0.000308,757.0935059999998,757.0935059999999
324,1.517054,0.000306,758.662292,758.662292
325,1.517007,0.000305,760.230957,760.230957
326,1.516959,0.000303,761.7995,761.7995
327,1.516912,0.000302,763.36792,763.36792
328,1.516865,0.0003,764.9362179999998,764.9362179999999
329,1.516819,0.000299,766.504395,766.504395
330,1.516772,0.000298,768.0723879999998,768.0723879999999
331,1.516726,0.000296,769.64032,769.64032
332,1.516681,0.000295,771.20813,771.20813
333,1.516635,0.000293,772.775757,772.775757
334,1.51659,0.000292,774.343262,774.343262
335,1.516545,0.000291,775.910645,775.910645
336,1.516501,0.00028900000000000003,777.477905,777.477905
337,1.516456,0.000288,779.0450440000002,779.0450440000001
338,1.516412,0.00028700000000000004,780.612061,780.612061
339,1.516369,0.000285,782.178894,782.178894
340,1.516325,0.00028399999999999996,783.745667,783.745667
341,1.516282,0.000283,785.3122559999998,785.3122559999999
342,1.516239,0.00028199999999999997,786.878784,786.878784
343,1.516196,0.00028,788.445068,788.445068
344,1.516154,0.000279,790.011292,790.011292
345,1.516112,0.000278,791.5773929999998,791.5773929999999
346,1.51607,0.000277,793.143311,793.143311
347,1.5160280000000002,0.000275,794.7091059999998,794.7091059999999
348,1.515987,0.00027400000000000005,796.27478,796.27478
349,1.515946,0.000273,797.840393,797.840393
350,1.5159049999999998,0.000272,799.405762,799.405762
351,1.515864,0.000271,800.971069,800.971069
352,1.515824,0.000269,802.536194,802.536194
353,1.515784,0.000268,804.101196,804.101196
354,1.515744,0.000267,805.666077,805.666077
355,1.5157040000000002,0.000266,807.230835,807.230835
356,1.515665,0.000265,808.79541,808.79541
357,1.515625,0.000264,810.359863,810.359863
358,1.515586,0.000263,811.924194,811.924194
359,1.515548,0.000261,813.4884030000002,813.4884030000001
360,1.515509,0.00026000000000000003,815.052429,815.052429
361,1.515471,0.000259,816.616333,816.616333
362,1.515433,0.000258,818.180054,818.180054
363,1.515395,0.00025699999999999996,819.743774,819.743774
364,1.515357,0.000256,821.307251,821.307251
365,1.51532,0.00025499999999999996,822.870605,822.870605
366,1.515283,0.000254,824.433777,824.433777
367,1.515246,0.00025299999999999997,825.996887,825.996887
368,1.515209,0.000252,827.559753,827.559753
369,1.515172,0.000251,829.122559,829.122559
370,1.515136,0.00025,830.685242,830.685242
371,1.5151,0.00024900000000000004,832.247742,832.247742
372,1.515064,0.000248,833.810059,833.810059
373,1.515028,0.00024700000000000004,835.372253,835.372253
374,1.514993,0.000246,836.934387,836.934387
375,1.514958,0.000245,838.496277,838.496277
376,1.514922,0.000244,840.0581050000002,840.0581050000001
377,1.514888,0.00024300000000000002,841.619751,841.619751
378,1.514853,0.000242,843.181274,843.181274
379,1.514818,0.000241,844.7425539999998,844.7425539999999
380,1.514784,0.00023999999999999998,846.303833,846.303833
381,1.51475,0.000239,847.864868,847.864868
382,1.514716,0.00023799999999999998,849.425781,849.425781
